Person,Edge_Count,Degree
Adam Bandt,858,1.0
Mark Dreyfus,728,0.8484848484848485
Trent Zimmerman,600,0.6993006993006993
Trevor Evans,568,0.662004662004662
Warren Entsch,470,0.5477855477855478
Michael Sukkar,464,0.5407925407925408
Kevin Andrews,440,0.5128205128205128
Craig Kelly,440,0.5128205128205128
Andrew Wallace,372,0.43356643356643354
Terri Butler,362,0.4219114219114219
George Christensen,356,0.4149184149184149
Sarah Henderson,356,0.4149184149184149
Andrew Broad,356,0.4149184149184149
Alex Hawke,356,0.4149184149184149
Andrew Laming,356,0.4149184149184149
Scott Morrison,356,0.4149184149184149
Tony Abbott,356,0.4149184149184149
Tim Wilson,336,0.3916083916083916
Tanya Plibersek,264,0.3076923076923077
Bill Shorten,264,0.3076923076923077
Bob Katter,264,0.3076923076923077
Cathy McGowan,264,0.3076923076923077
Ann Sudmalis,264,0.3076923076923077
Malcolm Turnbull,262,0.30536130536130535
Matt Keogh,262,0.30536130536130535
Jason Wood,252,0.2937062937062937
John McVeigh,252,0.2937062937062937
Stephen Jones,250,0.2913752913752914
Nicolle Flint,244,0.28438228438228436
Lucy Wicks,244,0.28438228438228436
Andrew Hastie,244,0.28438228438228436
Chris Crewther,244,0.28438228438228436
Rowan Ramsey,244,0.28438228438228436
Ted O'Brien,244,0.28438228438228436
Christopher Pyne,228,0.26573426573426573
Justine Keay,134,0.1561771561771562
Matt Thistlethwaite,134,0.1561771561771562
Nick Champion,134,0.1561771561771562
Luke Gosling,134,0.1561771561771562
Mike Kelly,134,0.1561771561771562
Michael Danby,134,0.1561771561771562
Brendan O'Connor,134,0.1561771561771562
Milton Dick,134,0.1561771561771562
Susan Templeman,134,0.1561771561771562
Justine Elliot,134,0.1561771561771562
Emma Husar,134,0.1561771561771562
Josh Wilson,134,0.1561771561771562
Anne Aly,134,0.1561771561771562
Kate Ellis,134,0.1561771561771562
Andrew Leigh,134,0.1561771561771562
Mark Butler,134,0.1561771561771562
Pat Conroy,134,0.1561771561771562
Mike Freelander,134,0.1561771561771562
Amanda Rishworth,134,0.1561771561771562
Julie Collins,134,0.1561771561771562
Gai Brodtmann,134,0.1561771561771562
Rob Mitchell,134,0.1561771561771562
David Feeney,134,0.1561771561771562
Andrew Giles,134,0.1561771561771562
Linda Burney,134,0.1561771561771562
Jim Chalmers,134,0.1561771561771562
Lisa Chesters,134,0.1561771561771562
Tim Hammond,134,0.1561771561771562
Clare O'Neil,134,0.1561771561771562
Tony Burke,134,0.1561771561771562
Jenny Macklin,134,0.1561771561771562
Richard Marles,134,0.1561771561771562
Jason Clare,134,0.1561771561771562
Tim Watts,134,0.1561771561771562
Sussan Ley,134,0.1561771561771562
Emma McBride,134,0.1561771561771562
Cathy O'Toole,134,0.1561771561771562
Meryl Swanson,134,0.1561771561771562
Andrew Wilkie,134,0.1561771561771562
Sharon Bird,134,0.1561771561771562
Anthony Albanese,134,0.1561771561771562
Catherine King,134,0.1561771561771562
Sharon Claydon,134,0.1561771561771562
Madeleine King,134,0.1561771561771562
Julian Hill,134,0.1561771561771562
Susan Lamb,134,0.1561771561771562
Michelle Rowland,128,0.14918414918414918
Steven Ciobo,128,0.14918414918414918
Rick Wilson,128,0.14918414918414918
Dan Tehan,128,0.14918414918414918
Karen Andrews,128,0.14918414918414918
Ian Goodenough,128,0.14918414918414918
Peter Dutton,128,0.14918414918414918
Kevin Hogan,128,0.14918414918414918
Chris Bowen,128,0.14918414918414918
Julian Leeser,128,0.14918414918414918
Ken Wyatt,128,0.14918414918414918
Tony Zappia,128,0.14918414918414918
Damian Drum,128,0.14918414918414918
Julia Banks,128,0.14918414918414918
Melissa Price,128,0.14918414918414918
Ken O'Dowd,128,0.14918414918414918
Luke Howarth,128,0.14918414918414918
Peter Khalil,128,0.14918414918414918
Greg Hunt,128,0.14918414918414918
Shayne Neumann,128,0.14918414918414918
Julie Bishop,128,0.14918414918414918
Tony Pasin,128,0.14918414918414918
Kelly O'Dwyer,128,0.14918414918414918
Jason Falinski,128,0.14918414918414918
Ross Hart,128,0.14918414918414918
Stuart Robert,128,0.14918414918414918
Luke Hartsuyker,128,0.14918414918414918
Mark Coulton,128,0.14918414918414918
Josh Frydenberg,128,0.14918414918414918
Barnaby Joyce,128,0.14918414918414918
Scott Buchholz,128,0.14918414918414918
Angus Taylor,128,0.14918414918414918
David Gillespie,128,0.14918414918414918
Christian Porter,128,0.14918414918414918
Michael McCormack,128,0.14918414918414918
Andrew Gee,128,0.14918414918414918
Ed Husic,128,0.14918414918414918
Paul Fletcher,128,0.14918414918414918
Ben Morton,128,0.14918414918414918
Keith Pitt,128,0.14918414918414918
Alan Tudge,128,0.14918414918414918
Julie Owens,116,0.1351981351981352
