,coeffMax
289,0.3060961526126742
328,0.32435896867522934
256,0.3269126534472528
153,0.3404711788466374
331,0.34590466385676605
85,0.346731986620812
216,0.3508276539803662
329,0.35892120598907323
69,0.36714086844519556
184,0.374377781654525
77,0.37459702949199297
313,0.3770340256520543
31,0.37839301814456133
282,0.3796361767508335
67,0.3800170460235432
35,0.38037166055328164
137,0.38135043535131946
258,0.3813962944748242
76,0.38764973397082003
150,0.3894387576790947
222,0.38954377186783895
187,0.3982548771694218
296,0.3999162774558705
155,0.40189431000242454
39,0.4019623689855339
174,0.4029472382697719
198,0.4052100341132043
248,0.40766497075937763
13,0.40980693261186374
87,0.4109745389930619
119,0.413398759124341
194,0.4137867213164008
231,0.4149030189065792
342,0.4149186390048744
0,0.41520881009895466
366,0.41692673709919414
267,0.4237600074848607
66,0.4240686252623313
113,0.42796954057273356
211,0.42997444742458035
75,0.4325846041968959
249,0.4342704711160639
238,0.43881459803447526
71,0.439381453027238
60,0.4418905705858828
168,0.4423677211496909
378,0.4466581347137389
192,0.447052069879272
142,0.4507675284216718
129,0.4531658409760914
50,0.4549391755392907
221,0.45718960165545947
306,0.458959177744496
353,0.4593368144586455
271,0.4598996707318201
59,0.46082247426443257
257,0.4608947483321199
254,0.4634517397935597
21,0.4650050284180965
212,0.46650646822580705
344,0.4667145946939735
36,0.4672985691331848
178,0.46814844264865385
245,0.4683893607169435
280,0.4700048107349187
380,0.470051824236662
7,0.4701368550936688
293,0.4770365463305095
181,0.4796732963128918
214,0.47979736154879077
240,0.4870873834872543
46,0.4890101577677442
197,0.4893163307278638
126,0.4953711011190844
27,0.4957743514195778
180,0.4963529862050068
111,0.4992116829078183
277,0.4998134247005276
189,0.5029521011177929
114,0.5040385288121835
203,0.5048525586977423
298,0.5109668774994975
199,0.5110437523692183
263,0.5122505674714347
330,0.5147169955349424
262,0.5160497764877183
5,0.5161722354806519
361,0.5162057154032921
345,0.5167822065145361
278,0.5187926709405967
73,0.5187975843215179
24,0.5199643472983533
62,0.5229024612585623
136,0.5232157523426888
351,0.5233717251173723
127,0.5236391913162683
58,0.5248746808337225
123,0.5250546497385606
79,0.5257057331894565
359,0.5258232831162547
309,0.5274339459185196
159,0.5279694516632646
102,0.5285089726620746
319,0.5286443298315797
320,0.5290482908138687
225,0.530741394634874
295,0.5308475089274627
264,0.531346444067616
323,0.5368938459272352
377,0.5375816268585158
230,0.5378364742086263
80,0.5402989589889428
190,0.5412701574352436
143,0.5439765321948066
177,0.5471465598249278
253,0.5480771720213213
308,0.5521825890264749
10,0.5531639447107526
312,0.5532067675793642
385,0.5540847704031095
338,0.5568550452256222
68,0.5572299644085168
276,0.5598144119852347
172,0.5607799574447444
161,0.5615045849353343
220,0.5616926638276106
90,0.5621552507118405
362,0.5627419873062084
354,0.5671542363026584
167,0.5730503743112257
164,0.574266186379623
374,0.574266794504883
32,0.5747918106087266
357,0.5749745170018727
336,0.575155335861957
299,0.5760548148374601
208,0.5819220339566763
382,0.584860306038261
120,0.5879803884814587
