,coeffDiff
257,0.000514442950137417
249,0.0009935421520129994
192,0.001652272500848706
157,0.0032047463903426276
118,0.0060525770731202355
88,0.006449286686646627
263,0.007140577619947325
262,0.008580620082529078
372,0.008778162007664708
190,0.00889616971624102
296,0.009446901470959848
58,0.010886136704502822
348,0.011754708923504498
235,0.012808475863129914
78,0.013454856590512085
293,0.014258075299659792
172,0.014463973691557844
74,0.014475630172973153
289,0.014648551317624214
120,0.015160091046594187
201,0.015594769026745378
111,0.015672017617072015
0,0.015971286927033423
207,0.015989756562623164
67,0.016438547297376177
362,0.017264484940894484
31,0.019134089405871205
291,0.020131031656652365
165,0.022767256636307937
64,0.023436701168071852
69,0.024700995667721437
17,0.025157979200269784
267,0.02636921872179107
71,0.026430207205646872
56,0.027387785569684006
320,0.027515208081951792
370,0.028198896035734042
184,0.028991583902644724
3,0.0290195701094665
280,0.029470751197209752
357,0.02956653585332722
134,0.029690025132595027
63,0.030291796624417527
376,0.030413687619628746
281,0.031330715566005696
159,0.031366264110385705
178,0.032059179912679425
383,0.03317927919900926
76,0.033694214226895294
87,0.03484923527472063
138,0.03548198224556723
98,0.036309413205730584
83,0.037339716178250174
271,0.03759981351207485
174,0.03764452808804783
161,0.037790317172818624
186,0.03798031508725716
244,0.038998378775455034
32,0.040171818597161485
106,0.040836685157706845
297,0.04128102960031642
265,0.04268825147926075
194,0.04286096798176389
86,0.04641698036933396
45,0.046618303059262595
213,0.04693677831030285
277,0.04707358032980341
209,0.04818458468683502
255,0.048543036209235516
335,0.04882224555419967
132,0.0495478961056674
47,0.049908250941024954
37,0.05001567985183117
355,0.0504263217463219
283,0.051369736355059606
324,0.05151829470999654
44,0.052256601508107
248,0.05242689779537961
43,0.05255974176400804
167,0.05313932277369679
105,0.05333016942073521
199,0.053543213690002145
82,0.053753546525165785
90,0.05388504724832484
148,0.054751121091795626
133,0.05546364747532412
346,0.0562553903423825
57,0.05780575121687666
46,0.05848847271889639
20,0.05878804420712261
304,0.05940935877449527
