,coeffMax,coeffDiff,coeffMax_trans,coeffDiff_trans
0,0.22812428763526976,0.17894554505566557,0.7175699541824987,0.9444617191812256
1,0.18232361396484764,0.15645137365721512,0.06676019984529279,0.7564278329665817
2,0.14425520495181,0.07830630626061798,-0.5450915387057276,-0.06722670571966644
3,0.1796679970549434,0.08560469340252684,0.02645446131330269,0.026473653440063392
4,0.1415615779751775,0.01991168609300553,-0.5915184321765402,-1.1561091731442004
5,0.23074409269843177,0.19903668372463634,0.7525674232248895,1.1007457624216557
6,0.21233668748532944,0.11724788524262748,0.5019300988001206,0.3852582936993668
7,0.26152541984426103,0.19006867882765202,1.1487210177230127,1.0322141783506686
8,0.28355654914284156,0.2308512022230495,1.4170420293658539,1.3299372125893174
9,0.1508156992316421,0.057913725854811346,-0.4339325462642637,-0.3607396420967369
10,0.20900632922416693,0.13554590314973494,0.4553496966384334,0.5665086341303583
11,0.24804024954161372,0.14124755059908906,0.9784393087651987,0.6199542722742569
12,0.23559787002368413,0.21675136563018138,0.8168473838754894,1.2308642664484812
13,0.2669574556558874,0.23230865182342264,1.2159749815482124,1.3399687044420592
14,0.21740129120674964,0.15538919269752083,0.5720192455949782,0.7471590326979677
15,0.13862315634443584,0.014402993536038383,-0.6427101435636464,-1.3374966276087568
16,0.25860650636199883,0.2271359920290502,1.1122712114766928,1.3041926773269217
17,0.12238483947431902,0.03787841242148131,-0.9367626143210946,-0.7181735951338433
18,0.12435420836191839,0.013384095292908058,-0.9000239045905315,-1.3754231380377475
19,0.218609365877778,0.1631041834918705,0.588607623228248,0.8136405772247722
20,0.23863243953396138,0.19119837955858496,0.8566734922878679,1.0409524082304522
21,0.1401046333653504,0.0752003948673385,-0.6168283585079233,-0.10869137184481553
22,0.14109202847941105,0.08496245940568775,-0.5996600325923203,0.01842541095045212
23,0.2652211744375799,0.2628139113220533,1.194558867865956,1.5418171437146337
24,0.202680494616429,0.07982620128514706,0.3657596202730425,-0.04729491376803037
