,sentiDiff
13149,0.4929
11164,0.4929
11467,0.4918
11139,0.4918
11401,0.49150000000000005
11138,0.49150000000000005
11113,0.49140000000000006
9693,0.49140000000000006
9646,0.49129999999999996
11112,0.49129999999999996
11131,0.49119999999999997
10734,0.49119999999999997
11876,0.4907
11145,0.4907
11163,0.4891
13641,0.4891
10000,0.4889
11119,0.4889
11151,0.48850000000000005
12557,0.48850000000000005
13896,0.4878
11121,0.487
10107,0.487
12487,0.48619999999999997
11738,0.48619999999999997
11143,0.48619999999999997
11150,0.48619999999999997
11156,0.48519999999999996
13009,0.48519999999999996
11117,0.4849
9894,0.4849
10214,0.48160000000000003
11123,0.48160000000000003
12353,0.48050000000000004
11149,0.48050000000000004
11135,0.4747
11204,0.4747
11161,0.47230000000000005
13431,0.47230000000000005
11807,0.4709
11144,0.4709
12853,0.47009999999999996
12713,0.47009999999999996
11140,0.4635
11533,0.4635
11137,0.46199999999999997
11335,0.46199999999999997
11130,0.4589
10627,0.4589
10269,0.45810000000000006
11124,0.45810000000000006
13966,0.4567
10504,0.45520000000000005
11128,0.45520000000000005
10934,0.4505
11134,0.4505
11269,0.44830000000000003
11136,0.44830000000000003
11157,0.44300000000000006
13079,0.44300000000000006
9741,0.44279999999999997
11114,0.44279999999999997
10564,0.4314
11129,0.4314
10773,0.42400000000000004
10765,0.42400000000000004
10762,0.42390000000000005
10763,0.42390000000000005
12621,0.42380000000000007
9942,0.42380000000000007
10772,0.42380000000000007
10819,0.42380000000000007
10783,0.42380000000000007
10766,0.4237000000000001
9549,0.4237000000000001
10775,0.4237000000000001
10774,0.4236000000000001
9837,0.4236000000000001
12759,0.4236000000000001
9178,0.4236000000000001
10781,0.4236000000000001
10821,0.4236000000000001
10771,0.4235
12011,0.4235
10814,0.4235
10769,0.4234
10764,0.4234
10770,0.4233
10808,0.42310000000000003
11595,0.42310000000000003
10768,0.42310000000000003
12149,0.42300000000000004
10815,0.42300000000000004
10048,0.42290000000000005
10785,0.42290000000000005
13355,0.42280000000000006
10776,0.42280000000000006
10767,0.42280000000000006
10827,0.42280000000000006
9596,0.42280000000000006
9785,0.4226000000000001
13566,0.4226000000000001
10438,0.4226000000000001
10780,0.4226000000000001
10792,0.4226000000000001
10826,0.4224
13283,0.4224
10813,0.42210000000000003
11941,0.42210000000000003
10809,0.42090000000000005
11664,0.42090000000000005
10790,0.42080000000000006
10155,0.42080000000000006
10787,0.42080000000000006
10320,0.42080000000000006
10864,0.4203
10797,0.4203
10825,0.42010000000000003
13706,0.42010000000000003
13144,0.42010000000000003
10382,0.41969999999999996
11126,0.41969999999999996
11462,0.41900000000000004
10806,0.41900000000000004
10805,0.41870000000000007
11396,0.41870000000000007
9688,0.4186000000000001
10778,0.4186000000000001
9641,0.4185
10777,0.4185
10796,0.4184
10729,0.4184
10812,0.41790000000000005
11871,0.41790000000000005
13636,0.4163
10784,0.4161
9995,0.4161
12552,0.41570000000000007
10818,0.41570000000000007
13891,0.41500000000000004
10102,0.4142
10786,0.4142
11733,0.4134
10810,0.4134
10817,0.4134
12482,0.4134
10823,0.4124
13004,0.4124
9889,0.4121
10782,0.4121
3022,0.4111
10800,0.41090000000000004
11065,0.41090000000000004
10788,0.40880000000000005
10209,0.40880000000000005
10998,0.4084
10799,0.4084
10816,0.40770000000000006
12348,0.40770000000000006
11199,0.40190000000000003
10802,0.40190000000000003
10828,0.3995000000000001
13426,0.3995000000000001
3030,0.39849999999999997
11802,0.3981
10811,0.3981
10807,0.39070000000000005
11528,0.39070000000000005
11330,0.3892
10804,0.3892
10622,0.3861
10795,0.3861
10789,0.3853000000000001
10264,0.3853000000000001
13961,0.3839
10499,0.3824000000000001
10793,0.3824000000000001
10798,0.37770000000000004
10931,0.37770000000000004
11264,0.37550000000000006
10803,0.37550000000000006
2684,0.37050000000000005
6406,0.37040000000000006
3324,0.37040000000000006
2683,0.3703000000000001
2697,0.3703000000000001
2728,0.3703000000000001
2711,0.3703000000000001
10824,0.3702000000000001
13074,0.3702000000000001
2734,0.3701000000000001
2729,0.3701000000000001
9736,0.37
10779,0.37
2681,0.3699
2733,0.3699
2680,0.3698
2685,0.3698
2699,0.3698
2731,0.36970000000000003
2682,0.36970000000000003
2703,0.36960000000000004
3915,0.36950000000000005
2299,0.36940000000000006
2741,0.36940000000000006
2690,0.3692000000000001
2742,0.3691000000000001
2686,0.3691000000000001
2370,0.3691000000000001
2723,0.369
2687,0.369
2726,0.369
2736,0.3689
4619,0.3688
2752,0.3687
2714,0.3687
3230,0.3687
2704,0.36850000000000005
2701,0.36850000000000005
2688,0.36840000000000006
2739,0.3682000000000001
3416,0.3682000000000001
2735,0.3682000000000001
2157,0.3682000000000001
2689,0.3681000000000001
2727,0.368
2678,0.368
2737,0.3679
2713,0.3679
2730,0.3678
2744,0.36760000000000004
2515,0.36760000000000004
2732,0.367
2710,0.3668
2693,0.36660000000000004
2691,0.3661000000000001
2722,0.36560000000000004
2702,0.36560000000000004
2738,0.36530000000000007
2905,0.36430000000000007
2748,0.36430000000000007
2718,0.3631000000000001
2719,0.36260000000000003
2724,0.3621000000000001
2747,0.362
2823,0.362
2706,0.36160000000000003
2692,0.36140000000000005
2725,0.3612000000000001
2743,0.36060000000000003
2443,0.36060000000000003
2698,0.36050000000000004
2720,0.3602000000000001
12834,0.35919999999999996
11155,0.35919999999999996
10559,0.35860000000000003
10794,0.35860000000000003
2745,0.3581000000000001
2590,0.3581000000000001
2705,0.35660000000000003
2715,0.3559
2227,0.35430000000000006
2740,0.35430000000000006
2707,0.3541000000000001
2679,0.3538
2677,0.3537
2746,0.3498
2665,0.3498
10791,0.3469
10377,0.3469
2749,0.34550000000000003
2982,0.34550000000000003
2712,0.3446
2700,0.3439000000000001
2717,0.3360000000000001
2696,0.31810000000000005
2709,0.3107000000000001
2751,0.2894
3152,0.2894
12829,0.2864
10822,0.2864
2721,0.2784000000000001
2695,0.2682
2694,0.2674000000000001
2750,0.25859999999999994
3060,0.25859999999999994
792,0.23060000000000003
6375,0.23050000000000004
3294,0.23050000000000004
820,0.23040000000000005
1417,0.23040000000000005
805,0.23040000000000005
791,0.23040000000000005
1475,0.23020000000000007
1787,0.23020000000000007
808,0.23009999999999997
789,0.22999999999999998
1720,0.22999999999999998
793,0.2299
788,0.2299
807,0.2299
790,0.2298
1595,0.2298
812,0.22970000000000002
3884,0.22960000000000003
2269,0.22950000000000004
798,0.22930000000000006
2341,0.22920000000000007
794,0.22920000000000007
1305,0.22909999999999997
1147,0.22909999999999997
795,0.22909999999999997
1920,0.22899999999999998
4588,0.2289
3200,0.2288
823,0.2288
742,0.2288
810,0.22860000000000003
813,0.22860000000000003
796,0.22850000000000004
3385,0.22830000000000006
2127,0.22830000000000006
1853,0.22830000000000006
797,0.22820000000000007
1360,0.22809999999999997
786,0.22809999999999997
703,0.22799999999999998
822,0.22799999999999998
1988,0.22799999999999998
1535,0.2279
2485,0.2277
1657,0.22709999999999997
819,0.2269
801,0.2267
799,0.22620000000000007
1096,0.2257
811,0.2257
2058,0.22540000000000004
2874,0.22440000000000004
826,0.22320000000000007
909,0.22320000000000007
953,0.2227
1199,0.22220000000000006
2793,0.22209999999999996
815,0.2217
800,0.22150000000000003
1251,0.22130000000000005
2413,0.2207
806,0.22060000000000002
998,0.22030000000000005
2560,0.21820000000000006
496,0.21799999999999997
6367,0.21789999999999998
3286,0.21789999999999998
495,0.2178
1409,0.2178
619,0.2178
508,0.2178
1779,0.21760000000000002
1467,0.21760000000000002
511,0.21749999999999992
493,0.21739999999999993
1712,0.21739999999999993
510,0.21729999999999994
497,0.21729999999999994
492,0.21729999999999994
1587,0.21719999999999995
494,0.21719999999999995
515,0.21709999999999996
3876,0.21699999999999997
2261,0.21689999999999998
502,0.2167
814,0.2167
498,0.21660000000000001
2333,0.21660000000000001
499,0.21649999999999991
1297,0.21649999999999991
1139,0.21649999999999991
1912,0.21639999999999993
4580,0.21629999999999994
735,0.21619999999999995
3192,0.21619999999999995
513,0.21599999999999997
516,0.21599999999999997
783,0.21599999999999997
824,0.21599999999999997
500,0.21589999999999998
3377,0.2157
2119,0.2157
1845,0.2157
501,0.2156
490,0.2154999999999999
1352,0.2154999999999999
696,0.21539999999999992
1980,0.21539999999999992
1527,0.21529999999999994
2478,0.21509999999999996
1649,0.2144999999999999
2198,0.21440000000000003
583,0.21429999999999993
816,0.21420000000000006
505,0.21409999999999996
787,0.21389999999999998
785,0.2138
503,0.2136
1088,0.21309999999999996
514,0.21309999999999996
2050,0.2128
2866,0.2118
902,0.2106
945,0.21009999999999995
2635,0.20989999999999998
1191,0.2096
2785,0.2094999999999999
518,0.20909999999999995
504,0.20889999999999997
1243,0.2087
2405,0.20809999999999995
509,0.20799999999999996
990,0.2077
2552,0.2056
2951,0.2056
821,0.2047
517,0.20409999999999995
809,0.20400000000000007
776,0.20339999999999991
2190,0.20179999999999998
519,0.2016
491,0.20129999999999992
489,0.20119999999999993
13747,0.19830000000000003
13775,0.19820000000000004
13767,0.19810000000000005
13782,0.19800000000000006
13773,0.19800000000000006
13774,0.19800000000000006
13781,0.19800000000000006
13748,0.19790000000000008
13777,0.19779999999999998
13753,0.19779999999999998
13779,0.1977
13754,0.1977
13760,0.1977
13778,0.1976
13757,0.1976
13766,0.1975
13771,0.19740000000000002
2627,0.19729999999999992
13756,0.19720000000000004
13770,0.19720000000000004
13751,0.19720000000000004
13768,0.19720000000000004
13769,0.19690000000000007
13776,0.19690000000000007
13749,0.19690000000000007
13741,0.19669999999999999
13783,0.1965
866,0.19610000000000005
825,0.19610000000000005
13742,0.1956
13784,0.1955
13759,0.19520000000000004
13765,0.19510000000000005
13780,0.19469999999999998
13745,0.19379999999999997
13752,0.1936
13743,0.19320000000000004
2943,0.19299999999999995
13744,0.19290000000000007
13785,0.19279999999999997
13746,0.19230000000000003
657,0.19209999999999994
4391,0.19200000000000006
4418,0.19190000000000007
4534,0.19190000000000007
4411,0.19180000000000008
4205,0.19180000000000008
4943,0.1917000000000001
4456,0.1917000000000001
4416,0.1917000000000001
4424,0.1917000000000001
4417,0.1917000000000001
5270,0.1917000000000001
4496,0.1917000000000001
4392,0.1916000000000001
4397,0.1915
4420,0.1915
4699,0.1915
4404,0.19140000000000001
4779,0.19140000000000001
4398,0.19140000000000001
4422,0.19140000000000001
3954,0.19140000000000001
512,0.19140000000000001
4739,0.19130000000000003
4421,0.19130000000000003
4401,0.19130000000000003
4162,0.19120000000000004
4410,0.19120000000000004
4415,0.19110000000000005
4375,0.19110000000000005
4327,0.19090000000000007
4395,0.19090000000000007
4400,0.19090000000000007
4414,0.19090000000000007
4412,0.19090000000000007
4244,0.19090000000000007
4393,0.1906000000000001
4660,0.1906000000000001
4419,0.1906000000000001
4283,0.1906000000000001
4413,0.1906000000000001
4385,0.1904
6634,0.19020000000000004
4386,0.18930000000000002
9502,0.18920000000000003
13755,0.18920000000000003
4403,0.18890000000000007
3841,0.18890000000000007
4409,0.18880000000000008
4124,0.18880000000000008
4423,0.1884
4819,0.1884
4389,0.1875
4396,0.18730000000000002
4387,0.18690000000000007
4388,0.1866000000000001
10682,0.1865
4390,0.18600000000000005
13762,0.1856
10820,0.18369999999999997
12690,0.18369999999999997
859,0.1835
4399,0.18290000000000006
4018,0.17930000000000001
4406,0.17930000000000001
804,0.17820000000000003
13761,0.17720000000000002
13764,0.17600000000000005
1004,0.17320000000000002
12416,0.17280000000000006
12394,0.17280000000000006
12402,0.17280000000000006
12397,0.17280000000000006
12391,0.17280000000000006
12396,0.17280000000000006
12424,0.17280000000000006
12430,0.17280000000000006
12395,0.17270000000000008
12419,0.17270000000000008
12432,0.17270000000000008
12415,0.17270000000000008
12414,0.17270000000000008
12392,0.17270000000000008
12398,0.17270000000000008
12411,0.17270000000000008
12440,0.1726000000000001
12399,0.1726000000000001
12405,0.1726000000000001
12412,0.1726000000000001
12393,0.1726000000000001
12428,0.1726000000000001
12384,0.1726000000000001
12390,0.1725000000000001
12431,0.1724000000000001
12438,0.1724000000000001
12400,0.1724000000000001
12421,0.1724000000000001
12436,0.1723
12413,0.1723
12404,0.1723
12406,0.17220000000000002
12418,0.17220000000000002
12439,0.17220000000000002
12410,0.17210000000000003
12425,0.17200000000000004
12433,0.17200000000000004
12427,0.17200000000000004
12441,0.17180000000000006
12442,0.17170000000000007
12387,0.17160000000000009
12435,0.17160000000000009
12403,0.1715000000000001
12429,0.1713
12401,0.17110000000000003
4405,0.17090000000000005
3986,0.17090000000000005
12437,0.17080000000000006
818,0.17080000000000006
12408,0.17060000000000008
12388,0.16990000000000005
13245,0.16990000000000005
12426,0.16990000000000005
12444,0.16990000000000005
4089,0.16970000000000007
12389,0.16970000000000007
4408,0.16970000000000007
12420,0.16920000000000002
12422,0.16870000000000007
12407,0.16870000000000007
12434,0.16810000000000003
12417,0.16800000000000004
12409,0.16800000000000004
12423,0.16610000000000003
13853,0.16500000000000004
12446,0.16500000000000004
12110,0.16200000000000003
12443,0.16200000000000003
13750,0.16180000000000005
12385,0.1594000000000001
4394,0.15550000000000008
2708,0.15250000000000008
3122,0.14949999999999997
13763,0.1472
4407,0.14090000000000003
4053,0.14090000000000003
2716,0.13990000000000002
1045,0.13850000000000007
12798,0.13760000000000006
12796,0.13750000000000007
12795,0.13750000000000007
12644,0.13740000000000008
12815,0.13740000000000008
12852,0.13740000000000008
12805,0.13740000000000008
12799,0.1373000000000001
12807,0.1373000000000001
12806,0.1372000000000001
12813,0.1372000000000001
12804,0.1371
12034,0.1371
12847,0.1371
12797,0.137
12802,0.137
12803,0.13690000000000002
3114,0.1368999999999999
12801,0.13670000000000004
12841,0.13670000000000004
11617,0.13670000000000004
12848,0.13660000000000005
12174,0.13660000000000005
12817,0.13650000000000007
12800,0.13640000000000008
12858,0.13640000000000008
13381,0.13640000000000008
12808,0.13640000000000008
12812,0.1362000000000001
12824,0.1362000000000001
12860,0.1362000000000001
10464,0.1362000000000001
13592,0.1362000000000001
13309,0.136
12857,0.136
12846,0.13570000000000004
11964,0.13570000000000004
11686,0.13450000000000006
12842,0.13450000000000006
12819,0.13440000000000007
12822,0.13440000000000007
13758,0.13440000000000007
12830,0.13390000000000002
10888,0.13390000000000002
13732,0.13370000000000004
13170,0.13370000000000004
12862,0.13370000000000004
12856,0.13370000000000004
12839,0.13260000000000005
11482,0.13260000000000005
12838,0.13230000000000008
11416,0.13230000000000008
12810,0.1322000000000001
12809,0.1321
10755,0.132
12828,0.132
11894,0.13150000000000006
12845,0.13150000000000006
12861,0.12990000000000002
13662,0.12990000000000002
12816,0.12970000000000004
12575,0.12930000000000008
12851,0.12930000000000008
10403,0.12860000000000005
13917,0.12860000000000005
12186,0.12860000000000005
12863,0.12860000000000005
803,0.12829999999999997
4402,0.1281000000000001
3807,0.1281000000000001
12818,0.12780000000000002
802,0.12750000000000006
12850,0.127
12843,0.127
12506,0.127
11755,0.127
12282,0.126
12290,0.126
12296,0.126
12260,0.126
12262,0.126
12263,0.126
13030,0.126
12854,0.126
12257,0.126
12268,0.126
12258,0.1259
12298,0.1259
12280,0.1259
12285,0.1259
12261,0.1259
12281,0.1259
12264,0.1259
12277,0.1259
1037,0.1259
12250,0.12580000000000002
12271,0.12580000000000002
12259,0.12580000000000002
12294,0.12580000000000002
12306,0.12580000000000002
12265,0.12580000000000002
12278,0.12580000000000002
12256,0.12570000000000003
12814,0.12570000000000003
12266,0.12560000000000004
12297,0.12560000000000004
12304,0.12560000000000004
12287,0.12560000000000004
12302,0.12549999999999994
12270,0.12549999999999994
12279,0.12549999999999994
12272,0.12539999999999996
12305,0.12539999999999996
12284,0.12539999999999996
12276,0.12529999999999997
12291,0.12519999999999998
12293,0.12519999999999998
12299,0.12519999999999998
12307,0.125
12308,0.12490000000000001
12301,0.12480000000000002
12253,0.12480000000000002
12269,0.12470000000000003
11088,0.12450000000000006
12833,0.12450000000000006
12295,0.12449999999999994
12267,0.12429999999999997
12303,0.124
12274,0.12380000000000002
12292,0.12309999999999999
12254,0.12309999999999999
12310,0.12309999999999999
13244,0.12309999999999999
12255,0.12290000000000001
12820,0.12240000000000006
12286,0.12239999999999995
11021,0.122
12832,0.122
12273,0.12190000000000001
12288,0.12190000000000001
12372,0.12130000000000007
12849,0.12130000000000007
12300,0.12129999999999996
12275,0.12119999999999997
12283,0.12119999999999997
12445,0.12100000000000011
13528,0.12100000000000011
12289,0.11929999999999996
12312,0.11819999999999997
13852,0.11819999999999997
507,0.11569999999999991
12835,0.11550000000000005
11219,0.11550000000000005
12109,0.11519999999999997
12309,0.11519999999999997
506,0.1149
13452,0.11310000000000009
12859,0.11310000000000009
12251,0.11260000000000003
12844,0.11170000000000002
11824,0.11170000000000002
12695,0.1109
11153,0.1109
11548,0.10430000000000006
12840,0.10430000000000006
141,0.10309999999999997
6352,0.10299999999999998
3271,0.10299999999999998
140,0.10289999999999999
604,0.10289999999999999
205,0.10289999999999999
1394,0.10289999999999999
12837,0.1028
11350,0.1028
1452,0.10270000000000001
1764,0.10270000000000001
267,0.10259999999999991
1697,0.10249999999999992
138,0.10249999999999992
245,0.10239999999999994
137,0.10239999999999994
142,0.10239999999999994
158,0.10230000000000006
139,0.10229999999999995
1572,0.10229999999999995
6353,0.10220000000000007
3272,0.10220000000000007
364,0.10219999999999996
157,0.10210000000000008
605,0.10210000000000008
206,0.10210000000000008
1395,0.10210000000000008
3861,0.10209999999999997
2246,0.10199999999999998
1453,0.1019000000000001
1765,0.1019000000000001
147,0.1018
268,0.1018
2318,0.10170000000000001
143,0.10170000000000001
155,0.10170000000000001
1698,0.10170000000000001
154,0.10160000000000002
246,0.10160000000000002
159,0.10160000000000002
1124,0.10159999999999991
144,0.10159999999999991
1282,0.10159999999999991
156,0.10150000000000003
1573,0.10150000000000003
1897,0.10149999999999992
365,0.10140000000000005
4565,0.10139999999999993
3862,0.10130000000000006
722,0.10129999999999995
3177,0.10129999999999995
2247,0.10120000000000007
391,0.10109999999999997
314,0.10109999999999997
164,0.10100000000000009
145,0.10099999999999998
160,0.1009000000000001
2319,0.1009000000000001
1283,0.1008
1125,0.1008
3362,0.1008
2104,0.1008
1830,0.1008
161,0.1008
1898,0.10070000000000001
146,0.10070000000000001
4566,0.10060000000000002
135,0.10059999999999991
1337,0.10059999999999991
723,0.10050000000000003
3178,0.10050000000000003
681,0.10049999999999992
1965,0.10049999999999992
1512,0.10039999999999993
315,0.10030000000000006
392,0.10030000000000006
162,0.10020000000000007
2465,0.10019999999999996
3363,0.10000000000000009
2105,0.10000000000000009
1831,0.10000000000000009
163,0.0999000000000001
152,0.0998
1338,0.0998
1966,0.09970000000000001
12827,0.09970000000000001
682,0.09970000000000001
10648,0.09970000000000001
1513,0.09960000000000002
1634,0.09959999999999991
2466,0.09940000000000004
568,0.09939999999999993
150,0.09919999999999995
12821,0.0989000000000001
1635,0.0988
148,0.09870000000000001
569,0.09860000000000002
167,0.09840000000000004
338,0.09819999999999995
1073,0.09819999999999995
165,0.0979000000000001
2035,0.09789999999999999
12864,0.09750000000000003
13987,0.09750000000000003
1074,0.09740000000000004
339,0.09740000000000004
2036,0.09710000000000008
2851,0.09689999999999999
2852,0.09610000000000007
10525,0.09600000000000009
12825,0.09600000000000009
887,0.09570000000000001
930,0.09519999999999995
888,0.0949000000000001
1176,0.0947
2770,0.0945999999999999
931,0.09440000000000004
447,0.09419999999999995
149,0.09399999999999997
1177,0.0939000000000001
1229,0.0938
2771,0.0938
448,0.09340000000000004
166,0.09320000000000006
2390,0.09319999999999995
224,0.09309999999999996
1230,0.09300000000000008
975,0.0928
2391,0.09240000000000004
225,0.09230000000000005
1012,0.09209999999999996
976,0.09200000000000008
3299,0.09199999999999997
6380,0.09199999999999997
1422,0.09189999999999998
1040,0.09189999999999998
1025,0.09189999999999998
1011,0.09189999999999998
1480,0.0917
1792,0.0917
1028,0.0915999999999999
1725,0.09149999999999991
1009,0.09149999999999991
1027,0.09139999999999993
1008,0.09139999999999993
1013,0.09139999999999993
3558,0.09130000000000005
12831,0.09130000000000005
3808,0.09130000000000005
10955,0.09130000000000005
1010,0.09129999999999994
1600,0.09129999999999994
1032,0.09119999999999995
3889,0.09109999999999996
2274,0.09099999999999997
1018,0.09079999999999999
2346,0.0907
2537,0.0907
1014,0.0907
1051,0.0905999999999999
1310,0.0905999999999999
1152,0.0905999999999999
1015,0.0905999999999999
1925,0.09049999999999991
4593,0.09039999999999992
1043,0.09029999999999994
3205,0.09029999999999994
1030,0.09009999999999996
1033,0.09009999999999996
1016,0.08999999999999997
2538,0.08990000000000009
3390,0.08979999999999999
1858,0.08979999999999999
2132,0.08979999999999999
8004,0.0897
5055,0.0897
4959,0.0897
6419,0.0897
5129,0.0897
5157,0.0897
6556,0.0897
1017,0.0897
5372,0.0897
7361,0.0897
4984,0.08960000000000001
6291,0.08960000000000001
6002,0.08960000000000001
6506,0.08960000000000001
6843,0.08960000000000001
8129,0.08960000000000001
3245,0.08960000000000001
5102,0.08960000000000001
3486,0.08960000000000001
5185,0.08960000000000001
1006,0.0895999999999999
1365,0.0895999999999999
7761,0.08950000000000002
5010,0.08950000000000002
5555,0.08950000000000002
5213,0.08950000000000002
9186,0.08950000000000002
6147,0.08950000000000002
3071,0.08950000000000002
3238,0.08950000000000002
3240,0.08950000000000002
1042,0.08949999999999991
1993,0.08949999999999991
4893,0.08940000000000003
1540,0.08939999999999992
7094,0.08930000000000005
8757,0.08930000000000005
5284,0.08930000000000005
8066,0.08930000000000005
2490,0.08919999999999995
6236,0.08919999999999995
5489,0.08919999999999995
8581,0.08919999999999995
419,0.08919999999999995
11284,0.08910000000000007
12836,0.08910000000000007
3243,0.08909999999999996
6740,0.08909999999999996
8985,0.08909999999999996
3342,0.08909999999999996
3239,0.08909999999999996
5618,0.08909999999999996
7468,0.08889999999999998
7698,0.08889999999999998
8242,0.08889999999999998
9299,0.0887
9362,0.08860000000000001
1662,0.0885999999999999
3242,0.08850000000000002
3336,0.08850000000000002
4543,0.08850000000000002
8468,0.08850000000000002
761,0.08849999999999991
420,0.08840000000000003
5430,0.08840000000000003
1039,0.08839999999999992
1021,0.08819999999999995
7824,0.08819999999999995
4292,0.08810000000000007
5340,0.08799999999999997
762,0.0877
1019,0.0877
8644,0.0877
4859,0.08760000000000001
5726,0.08750000000000002
1050,0.08719999999999994
1101,0.08719999999999994
1031,0.08719999999999994
2175,0.08689999999999998
2062,0.08689999999999998
3444,0.08679999999999999
7576,0.08679999999999999
13183,0.08679999999999999
3244,0.08679999999999999
475,0.0867
4832,0.08660000000000001
136,0.08639999999999992
134,0.08629999999999993
2176,0.08610000000000007
6950,0.08609999999999995
476,0.08590000000000009
2879,0.08589999999999998
5687,0.08560000000000001
153,0.08560000000000001
7197,0.08560000000000001
151,0.08550000000000002
8355,0.08499999999999996
6649,0.08489999999999998
5918,0.08489999999999998
1047,0.0847
1048,0.08419999999999994
957,0.08419999999999994
13100,0.0838000000000001
12855,0.0838000000000001
1052,0.0837
1204,0.0837
12811,0.08360000000000001
2797,0.0835999999999999
1035,0.08319999999999994
12386,0.08310000000000006
1020,0.08299999999999996
7256,0.08299999999999996
1256,0.08279999999999998
1053,0.08279999999999998
2612,0.08239999999999992
2418,0.08219999999999994
1026,0.08209999999999995
13790,0.08189999999999997
1002,0.08179999999999998
1049,0.08179999999999998
2613,0.0816
