,coeffDiff
111,0.0009475427905692446
277,0.0038600427815633775
203,0.011788808747892732
114,0.013046711846346093
280,0.021153360617407968
199,0.02387755511565509
263,0.02567955651029863
7,0.03107013661049346
5,0.033391833999553144
361,0.033893208633896554
345,0.035709587229524276
73,0.0393852179538558
136,0.04744178317840081
214,0.05097384989163428
58,0.052480311412377634
189,0.05389790409181516
351,0.05443686051696289
79,0.05495193665293896
238,0.06044006417674669
320,0.06081817356473185
211,0.06779873325148456
309,0.07264953100984745
264,0.07336125683282446
129,0.0742088664048508
249,0.0750058032455993
293,0.07618301840181047
230,0.07827932767986434
377,0.078833901753248
168,0.07890952853540928
143,0.08983568910396705
59,0.0932969228675784
306,0.10662036731693242
262,0.10669534104851708
308,0.10720267057138455
312,0.10828743154576792
75,0.11211034848599027
257,0.1128039757342083
68,0.1158686027188342
338,0.11796632525583711
36,0.11853923520246273
180,0.1189482744894122
271,0.12064289618461488
90,0.12732977822695773
330,0.12783369668009914
178,0.12846018623347655
46,0.1296070551570257
71,0.1357655946553606
221,0.13941174674291645
254,0.1437102648856805
10,0.14600347946911135
245,0.1486594294648203
212,0.1496486905847358
142,0.1504242288222355
374,0.15293002932359562
80,0.1530873495164528
32,0.15370815301221868
299,0.15393231174213995
225,0.1594692839305607
21,0.16238732778463988
208,0.16597777052373297
27,0.17120581116534583
181,0.1767966043184256
120,0.1772471799960666
378,0.18029940079515272
353,0.1810525039819722
278,0.18152331742727046
344,0.18378986329142444
382,0.18572274146531648
359,0.18633512543889807
115,0.18721825326995467
253,0.18790366840416245
60,0.19465484770637906
54,0.19628061046270578
240,0.19939653191063822
172,0.2009190526464481
220,0.20375678380038337
50,0.20396974266076873
283,0.2077802654913657
102,0.2080112469224058
376,0.21045686635859961
209,0.21139949738498914
276,0.21550516208954296
192,0.2186913372989474
295,0.22002046833732364
126,0.22357679105668926
336,0.2269562088778238
255,0.23104392451646438
104,0.23128422940383198
223,0.2344432443329485
182,0.23640128855942566
380,0.2370699244402116
151,0.24236171651972221
1,0.24705517469714044
167,0.25083821091216285
365,0.2541655798490466
62,0.25466438629031685
164,0.2561728281218597
161,0.2574522122407023
341,0.2676359515559552
186,0.27019374520275435
269,0.2738895693821454
177,0.27701971497079486
127,0.27735252797615356
29,0.27996141619213105
298,0.28110370618573866
123,0.28247599770584353
279,0.28537726659667517
319,0.28752148798467236
159,0.28786820846867406
206,0.29585851221963627
300,0.2979419408212558
323,0.30137539992298035
24,0.3013900489177691
357,0.30259866270146385
197,0.30347475920991884
