,coeffMax
302,0.05322901654007563
385,0.06254414584501515
342,0.06368763278994177
110,0.06618563265247478
113,0.06909268895278277
343,0.07280217682251021
381,0.07470757793319711
327,0.07616125257089372
230,0.07661610563205269
175,0.08045996852076273
309,0.08047290355838756
322,0.08183929920134062
373,0.08186709142879764
168,0.08303505901934545
107,0.08400707014544839
215,0.0840566484240265
166,0.08513817987354316
182,0.08535481495159994
323,0.09041894083037338
191,0.09260911923557547
222,0.09273885801053547
245,0.09376636673311159
101,0.09445220229591487
299,0.09460138890727032
318,0.09525955625138467
282,0.09631100600119187
104,0.09638902126778714
273,0.0970504479636307
305,0.09711740559087836
358,0.09723721603740422
349,0.09814593713770292
84,0.10061989299821911
264,0.10147054708803531
251,0.10179300009472085
341,0.10183721634619675
315,0.1027300578049632
59,0.10437728067987513
319,0.10481967404552368
177,0.10695403698257723
154,0.10759434042765444
43,0.10889736183925688
253,0.10899323545522935
362,0.11143128981075671
78,0.11184750935833711
237,0.1128678099261875
277,0.1135179379002574
296,0.11356529507698564
172,0.11361243884429287
348,0.11496669270712344
17,0.11527613559567407
370,0.11539256982580133
118,0.11623178644812049
353,0.11668404393193911
178,0.11855826637550754
67,0.11940724924480377
265,0.12012754364727068
293,0.12090363140860237
184,0.12097749487884678
372,0.12208369121751836
98,0.12401028631791416
363,0.12492667275316315
289,0.1260356746641332
58,0.12642915221435289
271,0.1274827991298184
203,0.12750427474972695
201,0.1287471100265144
380,0.12879591175289598
209,0.1289877647390685
212,0.12903584334860682
76,0.12985217506413232
31,0.13000780145390553
57,0.13042328057438993
64,0.1306225887249143
56,0.13170824605059048
102,0.1318895635095647
86,0.13284123452477378
220,0.13333092600026678
378,0.13352816618994867
283,0.13431850182295096
83,0.13483016258080585
270,0.1348979587722795
355,0.13629012762145903
42,0.13750703907752082
44,0.1375868972976879
74,0.13805840218842644
324,0.14024283897999656
263,0.14084285703814528
235,0.1409638640422087
262,0.14132264163437566
280,0.1429878527395653
164,0.14393762768455737
190,0.14412603040558908
77,0.14528284432003857
33,0.145695838820208
376,0.1460295990186366
364,0.1463711072117049
301,0.14679808534262168
18,0.14739817663485186
248,0.14882778850895836
151,0.14901274316227162
106,0.14957901724298212
225,0.15005387728609154
297,0.1503140240958928
90,0.15110768208735018
243,0.15201655141003662
35,0.15202238751792094
3,0.15218176002945247
281,0.15318981845409183
259,0.1540320682843289
249,0.15470414415678405
79,0.15478457482538455
47,0.1548105598739428
255,0.1549740308904211
256,0.15546893505615572
167,0.15611782663499507
46,0.15624526015010434
9,0.15709278251853306
360,0.15752216467982733
161,0.1578713911724889
80,0.15792699257663334
383,0.1580218231123965
185,0.15825197282334988
63,0.15845623949629895
192,0.15870576847877219
217,0.15923709816457007
87,0.15934011234368328
52,0.1597635436344632
159,0.1599105789249187
181,0.16022452225979408
148,0.16043036332488464
183,0.160680056386957
369,0.16122102508751038
257,0.16233040709065236
252,0.16261488040252275
198,0.1628222737706309
37,0.1629370979073778
326,0.1633481614717506
308,0.16354430987117058
216,0.1640183972336934
254,0.1646779970071287
193,0.16477662414089725
218,0.1651898102410789
99,0.16690724464165177
14,0.16697204744878208
139,0.16869616158742642
187,0.1705724744898716
173,0.17088921100849874
311,0.17095006838237356
48,0.17115385681180406
258,0.1714843167636777
208,0.1715676243696246
32,0.1717950076304443
384,0.17208507674862414
276,0.17226941377031713
242,0.17236021197516643
153,0.17374637192541095
186,0.1741553502672405
45,0.1741726098781622
134,0.17426123885598133
69,0.17469878875222722
196,0.17494854629264778
207,0.1751535798261958
320,0.17625437186125403
261,0.17652360575939668
111,0.17689087911936857
266,0.17692146102000733
290,0.17738610408881772
132,0.17741197045443086
150,0.1774514673103334
379,0.17838842350216605
325,0.178564104640906
194,0.17883127224140238
195,0.18025448245884385
36,0.1809120090003494
100,0.1813930315017243
179,0.1816660145540909
120,0.18179305190516565
88,0.18220701871895195
174,0.1825591139510848
171,0.18314171237857077
382,0.1832668905159425
68,0.18428097438364469
199,0.18442610793505274
267,0.18505602390323553
219,0.185217923183934
82,0.1853724031306166
357,0.18668050933146732
66,0.1873295423140086
366,0.1882266760082703
39,0.18839915284941172
226,0.19005753703568873
28,0.19067569009068658
85,0.19073245880094394
188,0.19078313078020603
240,0.1908557970740274
165,0.1912702883689552
214,0.19176646746632314
61,0.19191174514334783
71,0.19310350660518327
146,0.19327641338540877
291,0.1940940520578517
294,0.19460171188286748
229,0.19534125336370176
351,0.19562349280753566
0,0.19623790644755149
377,0.19728552864897628
211,0.19795275230598988
275,0.19801924464094747
189,0.1982928875370392
269,0.1994876220677262
200,0.20016499845655236
197,0.2006093822493074
346,0.20169904789843313
278,0.20204652114590932
331,0.20258162273623084
105,0.20298538672399458
223,0.20377645859120894
50,0.20507475282900475
272,0.20537158171654493
268,0.20594343353848818
206,0.2062863894563367
247,0.20652357033103008
126,0.2067510891036578
234,0.2068235839665258
335,0.20757494136209573
62,0.20791188476926722
321,0.20814900952754806
239,0.20863987931744998
279,0.2096794638314155
54,0.21035920493499
20,0.21094520006379366
307,0.21282340239472297
374,0.2137526768341944
231,0.2139995094287894
292,0.2148726791325611
24,0.21544613331877777
