Senti_Diff,Percentile
0.6506000000000001,1.0
0.6505000000000001,0.9998462957270212
0.6505000000000001,0.9998462957270212
0.6505000000000001,0.9998462957270212
0.6504000000000001,0.9996925914540424
0.6503000000000001,0.9995388871810637
0.6503000000000001,0.9995388871810637
0.6503000000000001,0.9995388871810637
0.6501999999999999,0.9993851829080845
0.6497999999999999,0.9987703658161695
0.6496,0.998462957270212
0.6495,0.9983092529972332
0.6495,0.9983092529972332
0.6493,0.9980018444512756
0.6493,0.9980018444512756
0.6476,0.9953888718106362
0.6475,0.9952351675376574
0.6475,0.9952351675376574
0.647,0.9944666461727635
0.6468,0.994159237626806
0.6468,0.994159237626806
0.6456999999999999,0.9924684906240392
0.6454,0.9920073778051028
0.6453,0.9918536735321241
0.6452,0.9916999692591453
0.6446000000000001,0.9907777436212727
0.643,0.9883184752536119
0.6428,0.9880110667076545
0.6424000000000001,0.9873962496157394
0.6416999999999999,0.9863203197048876
0.6409,0.9850906855210574
0.6400999999999999,0.9838610513372269
0.6400999999999999,0.9838610513372269
0.6391,0.9823240086074392
0.6376,0.9800184445127572
0.6355,0.9767906547802028
0.6351,0.9761758376882876
0.6344000000000001,0.9750999077774363
0.6286,0.9661850599446664
0.6262000000000001,0.9624961573931756
0.6248,0.9603442975714724
0.6174,0.9489701813710419
0.6158999999999999,0.94666461727636
0.6128,0.9418997848140177
0.6120000000000001,0.9406701506301876
0.6106,0.9385182908084845
0.6091,0.9362127267138025
0.6076,0.9339071626191208
0.6075,0.933753458346142
0.6074,0.9335997540731632
0.6073000000000001,0.9334460498001844
0.6073000000000001,0.9334460498001844
0.6073000000000001,0.9334460498001844
0.6072,0.9332923455272055
0.6068,0.9326775284352904
0.6066,0.9323701198893328
0.6065,0.932216415616354
0.6065,0.932216415616354
0.6065,0.932216415616354
0.6063000000000001,0.9319090070703966
0.6063000000000001,0.9319090070703966
0.6046,0.9292960344297571
0.6045,0.9291423301567783
0.6045,0.9291423301567783
0.6044,0.9289886258837996
0.604,0.9283738087918842
0.6038,0.9280664002459268
0.6038,0.9280664002459268
0.6027,0.9263756532431601
0.6024,0.9259145404242237
0.6023000000000001,0.925760836151245
0.6022000000000001,0.9256071318782663
0.6022,0.925607131878266
0.6016,0.9246849062403935
0.6,0.9222256378727327
0.5998,0.9219182293267751
0.5987,0.9202274823240085
0.5979,0.9189978481401782
0.5971,0.9177682139563479
0.5971,0.9177682139563479
0.5969,0.9174608054103903
0.5967,0.9171533968644328
0.5961,0.91623117122656
0.5946,0.9139256071318782
0.5925,0.9106978173993237
0.5921,0.9100830003074084
0.5914,0.909007070396557
0.5856,0.9000922225637872
0.5852999999999999,0.8996311097448507
0.5832,0.8964033200122963
0.5818,0.8942514601905932
0.5744,0.8828773439901628
0.5735999999999999,0.8816477098063323
0.5729,0.880571779895481
0.5698,0.8758069474331385
0.5690000000000001,0.8745773132493083
0.5676,0.8724254534276051
0.5661,0.8701198893329234
0.5614,0.8628957885029203
0.5592,0.859514294497387
0.5539000000000001,0.8513679680295112
0.5537,0.8510605594835535
0.5423,0.8335382723639716
0.5306,0.8155548724254533
0.5130999999999999,0.7886566246541651
0.49670000000000003,0.763449123885644
0.49660000000000004,0.7632954196126652
0.49660000000000004,0.7632954196126652
0.49660000000000004,0.7632954196126652
0.49650000000000005,0.7631417153396864
0.49640000000000006,0.7629880110667077
0.49640000000000006,0.7629880110667077
0.49640000000000006,0.7629880110667077
0.49629999999999996,0.7628343067937288
0.4959,0.7622194897018136
0.49570000000000003,0.7619120811558561
0.49560000000000004,0.7617583768828773
0.49560000000000004,0.7617583768828773
0.49540000000000006,0.7614509683369198
0.49540000000000006,0.7614509683369198
0.4937,0.7588379956962803
0.49360000000000004,0.7586842914233015
0.49360000000000004,0.7586842914233015
0.4931,0.7579157700584075
0.4929,0.7576083615124499
0.4929,0.7576083615124499
0.4918,0.7559176145096833
0.49150000000000005,0.755456501690747
0.49140000000000006,0.7553027974177682
0.49129999999999996,0.7551490931447893
0.4907,0.7542268675069167
0.4891,0.751767599139256
0.4889,0.7514601905932984
0.48850000000000005,0.7508453735013834
0.4878,0.7497694435905318
0.487,0.7485398094067014
0.48619999999999997,0.747310175222871
0.48619999999999997,0.747310175222871
0.48519999999999996,0.7457731324930832
0.48160000000000003,0.7402397786658469
0.48050000000000004,0.7385490316630802
0.4747,0.7296341838303104
0.47230000000000005,0.7259452812788195
0.4709,0.7237934214571164
0.47009999999999996,0.7225637872732861
0.4635,0.7124193052566861
0.46199999999999997,0.7101137411620042
0.4589,0.7053489086996617
0.45810000000000006,0.7041192745158316
0.4567,0.7019674146941284
0.45520000000000005,0.6996618505994466
0.4505,0.6924377497694435
0.44830000000000003,0.6890562557639102
0.44300000000000006,0.6809099292960344
0.44279999999999997,0.6806025207500768
0.4314,0.6630802336304948
0.42390000000000005,0.6515524131570858
0.42380000000000007,0.651398708884107
0.42380000000000007,0.651398708884107
0.42380000000000007,0.651398708884107
0.4237000000000001,0.6512450046111282
0.4236000000000001,0.6510913003381494
0.4236000000000001,0.6510913003381494
0.4236000000000001,0.6510913003381494
0.4235,0.6509375960651705
0.42310000000000003,0.6503227789732554
0.42290000000000005,0.6500153704272978
0.42280000000000006,0.6498616661543192
0.42280000000000006,0.6498616661543192
0.42280000000000006,0.6498616661543192
0.4226000000000001,0.6495542576083616
0.4226000000000001,0.6495542576083616
0.42090000000000005,0.6469412849677221
0.42080000000000006,0.6467875806947433
0.42080000000000006,0.6467875806947433
0.4203,0.6460190593298493
0.42010000000000003,0.6457116507838918
